                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95087,                0.63571,                      1,                0.90029,             0.00022134,             0.00022134,             0.00022134
                      2,                0.70738,                0.76429,                      1,                0.88613,             0.00044536,             0.00044536,             0.00044536
                      3,                0.58489,                0.79286,                      1,                0.78018,             0.00066486,             0.00066486,             0.00066486
                      4,                0.48947,                0.86429,                      1,                0.74561,             0.00069278,             0.00069278,             0.00069278
                      5,                0.39311,                   0.85,                      1,                0.71406,             0.00068571,             0.00068571,             0.00068571
                      6,                0.37708,                0.88571,                      1,                 0.7126,             0.00067864,             0.00067864,             0.00067864
                      7,                0.34083,                0.89286,                      1,                0.69004,             0.00067157,             0.00067157,             0.00067157
                      8,                0.25405,                0.87143,                      1,                0.69131,              0.0006645,              0.0006645,              0.0006645
                      9,                0.26095,                0.88571,                      1,                0.68877,             0.00065742,             0.00065742,             0.00065742
                     10,                0.25126,                0.89286,                      1,                0.68721,             0.00065035,             0.00065035,             0.00065035
                     11,                0.22899,                    0.9,                      1,                0.69199,             0.00064328,             0.00064328,             0.00064328
                     12,                0.21756,                0.89286,                      1,                0.68213,             0.00063621,             0.00063621,             0.00063621
                     13,                0.18879,                0.89286,                      1,                0.67832,             0.00062914,             0.00062914,             0.00062914
                     14,                0.17537,                0.88571,                      1,                0.69023,             0.00062206,             0.00062206,             0.00062206
                     15,                0.18403,                0.88571,                      1,                0.66035,             0.00061499,             0.00061499,             0.00061499
                     16,                  0.143,                0.88571,                      1,                0.66348,             0.00060792,             0.00060792,             0.00060792
                     17,                0.17468,                0.89286,                      1,                0.66826,             0.00060085,             0.00060085,             0.00060085
                     18,                0.15042,                    0.9,                      1,                0.67256,             0.00059378,             0.00059378,             0.00059378
                     19,                0.14592,                0.90714,                      1,                0.65186,              0.0005867,              0.0005867,              0.0005867
                     20,                0.10736,                0.89286,                      1,                0.66768,             0.00057963,             0.00057963,             0.00057963
                     21,                0.10864,                    0.9,                      1,                0.65264,             0.00057256,             0.00057256,             0.00057256
                     22,                0.14568,                0.89286,                      1,                0.66709,             0.00056549,             0.00056549,             0.00056549
                     23,                0.11303,                0.88571,                      1,                0.66289,             0.00055842,             0.00055842,             0.00055842
                     24,                0.07225,                0.86429,                      1,                0.67363,             0.00055134,             0.00055134,             0.00055134
                     25,                 0.0966,                0.87143,                      1,                0.67949,             0.00054427,             0.00054427,             0.00054427
                     26,                0.10146,                0.88571,                      1,                0.67119,              0.0005372,              0.0005372,              0.0005372
                     27,                0.09352,                0.86429,                      1,                0.67969,             0.00053013,             0.00053013,             0.00053013
                     28,                 0.1161,                0.88571,                      1,                0.68477,             0.00052306,             0.00052306,             0.00052306
                     29,                0.11897,                0.85714,                      1,                0.68789,             0.00051598,             0.00051598,             0.00051598
                     30,                0.06893,                0.87143,                      1,                0.66387,             0.00050891,             0.00050891,             0.00050891
                     31,                0.07881,                0.88571,                      1,                0.65205,             0.00050184,             0.00050184,             0.00050184
                     32,                0.11907,                0.89286,                      1,                 0.6501,             0.00049477,             0.00049477,             0.00049477
                     33,                0.07602,                0.89286,                      1,                 0.6623,              0.0004877,              0.0004877,              0.0004877
                     34,                0.07824,                0.89286,                      1,                0.66377,             0.00048062,             0.00048062,             0.00048062
                     35,                0.08118,                0.89286,                      1,                0.65879,             0.00047355,             0.00047355,             0.00047355
                     36,                0.07331,                0.87857,                      1,                0.66104,             0.00046648,             0.00046648,             0.00046648
                     37,                0.07205,                0.89286,                      1,                0.65479,             0.00045941,             0.00045941,             0.00045941
                     38,                0.06733,                0.88571,                      1,                0.65586,             0.00045233,             0.00045233,             0.00045233
                     39,                0.12074,                    0.9,                      1,                0.66553,             0.00044526,             0.00044526,             0.00044526
                     40,                0.05399,                0.89286,                      1,                0.64707,             0.00043819,             0.00043819,             0.00043819
                     41,                0.05894,                0.89286,                      1,                0.64922,             0.00043112,             0.00043112,             0.00043112
                     42,                0.07264,                0.90714,                      1,                0.64434,             0.00042405,             0.00042405,             0.00042405
                     43,                0.06307,                0.91429,                      1,                0.64785,             0.00041697,             0.00041697,             0.00041697
                     44,                0.06202,                    0.9,                      1,                0.64629,              0.0004099,              0.0004099,              0.0004099
                     45,                0.04215,                    0.9,                      1,                0.65176,             0.00040283,             0.00040283,             0.00040283
                     46,                0.04541,                0.90714,                      1,                0.63662,             0.00039576,             0.00039576,             0.00039576
                     47,                0.05273,                0.91429,                      1,                0.63662,             0.00038869,             0.00038869,             0.00038869
                     48,                0.06166,                    0.9,                      1,                0.64365,             0.00038161,             0.00038161,             0.00038161
                     49,                0.04062,                0.90714,                      1,                0.66807,             0.00037454,             0.00037454,             0.00037454
                     50,                0.06102,                0.89286,                      1,                0.64629,             0.00036747,             0.00036747,             0.00036747
                     51,                0.05435,                0.89286,                      1,                0.65195,              0.0003604,              0.0003604,              0.0003604
                     52,                0.03754,                    0.9,                      1,                0.64141,             0.00035333,             0.00035333,             0.00035333
                     53,                0.03745,                0.90714,                      1,                0.64961,             0.00034625,             0.00034625,             0.00034625
                     54,                0.05323,                0.90714,                      1,                0.64814,             0.00033918,             0.00033918,             0.00033918
                     55,                0.05171,                    0.9,                      1,                0.65195,             0.00033211,             0.00033211,             0.00033211
                     56,                0.10347,                0.87857,                      1,                0.66113,             0.00032504,             0.00032504,             0.00032504
                     57,                 0.0525,                0.90714,                      1,                0.64189,             0.00031797,             0.00031797,             0.00031797
                     58,                0.04972,                0.92143,                      1,                0.63682,             0.00031089,             0.00031089,             0.00031089
                     59,                0.03723,                0.90714,                      1,                0.64678,             0.00030382,             0.00030382,             0.00030382
                     60,                0.05377,                    0.9,                      1,                0.63877,             0.00029675,             0.00029675,             0.00029675
                     61,                0.02713,                0.91429,                      1,                0.63467,             0.00028968,             0.00028968,             0.00028968
                     62,                0.04453,                0.90714,                      1,                0.64717,             0.00028261,             0.00028261,             0.00028261
                     63,                0.04238,                0.92143,                      1,                0.64619,             0.00027553,             0.00027553,             0.00027553
                     64,                0.05319,                0.92857,                      1,                0.64189,             0.00026846,             0.00026846,             0.00026846
                     65,                0.05282,                0.92143,                      1,                0.63574,             0.00026139,             0.00026139,             0.00026139
                     66,                 0.0345,                0.92143,                      1,                0.64473,             0.00025432,             0.00025432,             0.00025432
                     67,                0.04105,                0.91429,                      1,                0.63418,             0.00024725,             0.00024725,             0.00024725
                     68,                0.05091,                0.91429,                      1,                0.64258,             0.00024017,             0.00024017,             0.00024017
                     69,                0.05849,                0.91429,                      1,                0.63135,              0.0002331,              0.0002331,              0.0002331
                     70,                0.04251,                0.90714,                      1,                0.63008,             0.00022603,             0.00022603,             0.00022603
                     71,                 0.0346,                0.90714,                      1,                0.63418,             0.00021896,             0.00021896,             0.00021896
                     72,                0.03459,                0.90714,                      1,                0.64199,             0.00021189,             0.00021189,             0.00021189
                     73,                0.02807,                0.91429,                      1,                0.64209,             0.00020481,             0.00020481,             0.00020481
                     74,                0.04527,                0.92143,                      1,                0.63066,             0.00019774,             0.00019774,             0.00019774
                     75,                0.07176,                0.92143,                      1,                0.64375,             0.00019067,             0.00019067,             0.00019067
                     76,                0.01776,                0.91429,                      1,                0.62734,              0.0001836,              0.0001836,              0.0001836
                     77,                0.03147,                0.91429,                      1,                0.62832,             0.00017653,             0.00017653,             0.00017653
                     78,                0.02533,                0.91429,                      1,                0.63652,             0.00016945,             0.00016945,             0.00016945
                     79,                0.03646,                0.92143,                      1,                0.63066,             0.00016238,             0.00016238,             0.00016238
                     80,                0.03748,                0.90714,                      1,                0.64141,             0.00015531,             0.00015531,             0.00015531
                     81,                0.03315,                0.92143,                      1,                0.62832,             0.00014824,             0.00014824,             0.00014824
                     82,                0.04024,                0.92143,                      1,                0.64434,             0.00014117,             0.00014117,             0.00014117
                     83,                0.02037,                    0.9,                      1,                0.64111,             0.00013409,             0.00013409,             0.00013409
                     84,                0.03035,                    0.9,                      1,                0.64941,             0.00012702,             0.00012702,             0.00012702
                     85,                0.02517,                0.90714,                      1,                0.66562,             0.00011995,             0.00011995,             0.00011995
                     86,                0.03007,                0.91429,                      1,                0.63301,             0.00011288,             0.00011288,             0.00011288
                     87,                0.04196,                0.91429,                      1,                0.64346,             0.00010581,             0.00010581,             0.00010581
                     88,                0.03207,                0.91429,                      1,                0.64258,             9.8734e-05,             9.8734e-05,             9.8734e-05
                     89,                0.03296,                0.92143,                      1,                0.63955,             9.1662e-05,             9.1662e-05,             9.1662e-05
                     90,                0.02454,                0.92143,                      1,                0.64131,              8.459e-05,              8.459e-05,              8.459e-05
                     91,                0.06408,                    0.9,                      1,                0.63662,             7.7518e-05,             7.7518e-05,             7.7518e-05
                     92,                0.01741,                0.90714,                      1,                0.64336,             7.0446e-05,             7.0446e-05,             7.0446e-05
                     93,                0.03419,                0.92143,                      1,                0.65234,             6.3373e-05,             6.3373e-05,             6.3373e-05
                     94,                0.01949,                0.91429,                      1,                0.65195,             5.6301e-05,             5.6301e-05,             5.6301e-05
                     95,                0.04447,                0.90714,                      1,                 0.6375,             4.9229e-05,             4.9229e-05,             4.9229e-05
