fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.94643,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.93929,0.01,0.00999,0.92827,0.0005,3.0,0.80129,7.53101,0.50754,1.51087,0.01493,0.70191,0.40275,0.0,0.1,0.50331,0.0,0.0,0.0,0.49587,0.0,1.0,0.0,0.0
0.94643,0.00989,0.01037,0.9233,0.0005,3.0,0.80287,8.31649,0.4837,1.50652,0.01314,0.61669,0.4,0.0,0.08296,0.5,0.0,0.0,0.0,0.5,0.0,0.97818,0.0,0.0
0.93929,0.01,0.00891,0.95847,0.00057,2.51417,0.67795,7.59389,0.49584,1.54797,0.0157,0.60313,0.40895,0.0,0.1,0.51097,0.0,0.0,0.0,0.47523,0.0,0.694,0.0,0.0
0.92857,0.01,0.00995,0.98,0.00053,3.0,0.81561,7.19549,0.61982,0.90023,0.01548,0.7,0.46986,0.0,0.10937,0.54683,0.0,0.0,0.0,0.5105,0.0,1.0,0.0,0.0
0.93929,0.00989,0.01143,0.93663,0.00054,3.41007,0.80287,8.51729,0.45225,1.57452,0.0122,0.54897,0.43008,0.0,0.09023,0.47753,0.0,0.0,0.0,0.5183,0.0,1.0,0.0,0.0
0.95,0.01126,0.01,0.86955,0.00037,2.97425,0.71183,6.71445,0.5,1.46659,0.01647,0.61177,0.38316,0.0,0.11398,0.5,0.0,0.0,0.0,0.68933,0.0,0.76979,0.0,0.0
0.96071,0.01029,0.00999,0.937,0.00051,3.02806,0.78014,7.0983,0.5168,1.52132,0.01498,0.7,0.39084,0.0,0.1011,0.49731,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.93929,0.0106,0.00999,0.937,0.00054,3.13178,0.85467,7.87589,0.5168,1.53331,0.01498,0.78912,0.39084,0.0,0.11566,0.52274,0.0,0.0,0.0,0.43833,0.0,0.90622,0.0,0.0
0.94286,0.01126,0.01281,0.88149,0.00037,3.71304,0.53799,6.71445,0.51153,1.46659,0.01585,0.64931,0.36292,0.0,0.1561,0.45728,0.0,0.0,0.0,0.58615,0.0,0.7835,0.0,0.0
0.94286,0.01069,0.01007,0.86923,0.00051,3.06289,0.79032,6.7156,0.45597,1.65677,0.01498,0.66412,0.39084,0.0,0.08774,0.59274,0.0,0.0,0.0,0.48926,0.0,0.98715,0.0,0.0
0.93929,0.01061,0.01,0.937,0.00044,2.95563,0.8,7.5,0.4283,1.43711,0.01671,0.7,0.39518,0.0,0.10007,0.5,0.0,0.0,0.0,0.46309,0.0,1.0,0.0,0.0
0.94643,0.0102,0.01281,0.86955,0.00034,2.97425,0.71183,4.32067,0.45823,1.46659,0.01608,0.583,0.38754,0.0,0.08906,0.46946,0.0,0.0,0.0,0.62931,0.0,0.84448,0.0,0.0
0.94643,0.01356,0.01181,0.86494,0.00037,2.9269,0.5653,5.46239,0.5,1.65972,0.01647,0.61177,0.45595,0.0,0.13256,0.65078,0.0,0.0,0.0,0.68933,0.0,0.91898,0.0,0.0
0.95714,0.01139,0.01038,0.90633,0.00049,3.02806,0.62628,7.67894,0.62251,1.41681,0.01331,0.68794,0.40003,0.0,0.1011,0.47501,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.94286,0.01383,0.01195,0.85686,0.0005,2.3311,0.75729,6.54813,0.63767,1.09901,0.01243,0.51199,0.32461,0.0,0.0735,0.30669,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
